,X,id,sale,rating,units,industry,product,country,return.client,contract,primary,secondary,deci5,aux,tsee,c1550,c1551,c1553,c1554,c1556,c1552,c15512,c1542,c1558,c1557,c1559,c15511,c15513,c15514,c15515
37,37,8132227166,32650,5.788429949,492,tech,Series A,India,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1,1
38,38,813222714X,17900,5.187385806,492,biotech,Series A,India,0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,0,0
39,39,1634838238,26998,5.598347882,274,biotech,Series A,United States,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,1
40,40,444635793,25500,5.541263545,450,biotech,NA,Netherlands,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
41,41,128045809,18000,5.192956851,247,tech,NA,United Kingdom,0,1,0,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,0,1,0
42,42,128036486,28800,5.66296048,400,tech,Series A,Netherlands,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1
43,43,1482230755,27594,5.620183451,816,tech,Series C,United States,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,1
44,44,8132236130,36298,5.894347736,282,tech,Series C,India,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
45,45,8132236114,19900,5.293304825,282,biotech,Series C,India,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0
46,46,3319247891,32650,5.788429949,630,999,Series C,Switzerland,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,1
47,47,1603585710,7500,4.317488114,512,biotech,Series B55,United States,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,1,1
48,48,3319381016,34900,5.855071922,404,environmental,Series A,Switzerland,0,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1,0,1,1,1
49,49,4431557652,12900,4.859812404,224,biotech,Series A,Japan,0,0,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1
50,50,128027576,25200,5.529429088,386,999,Series A,United States,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1
51,51,1609384377,5500,4.007333185,331,environmental,Series B,United States,1,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1
52,52,1780643667,16000,5.075173815,272,biotech,Series C,United Kingdom,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1
53,53,1498769764,16995,5.135504276,612,biotech,Series C,United States,1,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1
54,54,1780648901,6000,4.094344562,80,environmental,Series B55,United States,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
55,55,3319412388,35880,5.88276513,716,999,Series C,Switzerland,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
56,56,1138970905,4795,3.870158801,176,environmental,Series B55,United Kingdom,0,1,0,1,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,0,0
57,57,981101860X,29002,5.669949886,247,999,Series C,Singapore,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1
58,58,128098600,14393,4.96932707,126,tech,Series C,United Kingdom,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1,1
59,59,3319483560,18900,5.241747015,659,biotech,Series A,Switzerland,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0
60,60,3319483536,18900,5.241747015,599,biotech,Series A,Switzerland,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1
61,61,3662515016,16900,5.129898715,520,environmental,Series A,Germany,0,0,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1
62,62,3662525542,16900,5.129898715,564,environmental,Series A,Germany,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,0,1
63,63,9811025584,45418,6.118493595,561,tech,Series A,Singapore,0,0,1,1,1,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,1,1
64,64,128035587,18000,5.192956851,558,tech,Series B55,United States,1,0,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1
65,65,1771882611,17994,5.192623462,422,tech,Series A2,Canada,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1
66,66,300220820,5400,3.988984047,416,tech,Series C,Italy,0,0,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1
67,67,3319329197,32650,5.788429949,341,tech,Series A,Switzerland,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1
68,68,3319288997,45418,6.118493595,538,tech,Series C,Switzerland,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0
69,69,3319324233,35880,NA,616,tech,Series C,Switzerland,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,0,1,1
70,70,3319194054,29002,5.669949886,183,tech,Series C,Switzerland,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1
71,71,128032669,18000,5.192956851,764,tech,Series C,United Kingdom,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,1
72,72,1482247860,23994,5.480388892,625,tech,Series B55,United States,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1,0,1
73,73,3319298070,24900,5.517452896,567,biotech,Series A,Switzerland,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1
74,74,1498756581,20394,5.317825833,297,tech,Series A2,United Kingdom,0,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,0,1
75,75,9401772762,35880,5.88276513,670,tech,Series C,Netherlands,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0
76,76,128011513,28800,5.66296048,648,tech,Series A,United States,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
77,77,81014732,28000,5.634789603,432,environmental,Series A,United Kingdom,0,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1
78,78,128017287,18720,5.232177564,324,tech,Series A,United States,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
79,79,1138215295,5495,4.006423681,270,environmental,Series B55,United Kingdom,0,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,1,1,1,1
80,80,022639011X,5400,3.988984047,285,tech,Series C,United States,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0
81,81,022639008X,4500,3.80666249,285,biotech,Series C,United States,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
82,82,9264238654,5040,3.919991175,159,tech,Series A,France,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,0,1,0
83,83,9264238646,4200,3.737669618,159,environmental,Series A,France,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1
84,84,1400883628,5994,4.093344062,375,tech,Series C,United States,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1
85,85,1623493706,8400,4.430816799,288,tech,Series A,United States,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1
86,86,1623493692,3500,3.555348061,288,biotech,Series A,United States,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
87,87,3034809808,29002,5.669949886,182,tech,Series A,Switzerland,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
88,88,3034809786,15900,5.068904202,182,biotech,Series A,Switzerland,0,0,0,1,0,1,1,0,0,1,1,1,0,1,0,0,0,1,1,1,1,1
89,89,1440843716,4440,3.793239469,222,tech,Series B,United States,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1
90,90,9813100370,27720,5.624739267,320,tech,Series A,Singapore,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0
91,91,029580646X,10800,4.682131227,311,tech,Series B55,United States,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1
92,92,131547008X,17400,5.159055299,296,tech,Series B55,United Kingdom,0,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1
93,93,3662485338,15900,5.068904202,265,biotech,Series A,Germany,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
94,94,3662485354,19080,5.251225759,265,tech,Series A,Germany,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
95,95,1489976795,22900,5.433722004,803,biotech,Series B55,United States,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,1,0,1
96,96,1489976817,41770,6.034763472,803,tech,Series B55,United States,1,0,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1
97,97,1498724922,23994,5.480388892,484,tech,Series C,United States,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
98,98,309437873,7900,4.369447852,217,environmental,Series A,United States,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1
99,99,128052163,24624,5.50630667,296,tech,Series A,Netherlands,0,0,0,1,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1
100,100,1536103365,8200,4.406719247,126,environmental,Series A,United States,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,0,1,1
101,101,1482227797,9594,4.563722996,202,tech,Series B55,United States,1,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1
102,102,1482234599,33594,5.816932573,595,tech,Series B55,United States,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0
103,103,8132227026,18900,5.241747015,258,biotech,Series A,India,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1
104,104,1498732887,8394,4.430102258,209,tech,Series B55,United States,1,0,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1
105,105,1439849080,9594,4.563722996,289,tech,Series B55,United States,1,0,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,1
106,106,1439849056,7995,4.381401439,289,biotech,Series B55,United States,1,0,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1
107,107,1317118634,17994,5.192623462,264,tech,Series A,United Kingdom,0,1,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,1
108,108,1464808325,3500,3.555348061,124,environmental,Series B55,United States,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,1,0
109,109,1464808961,3500,3.555348061,136,environmental,Series C,United States,1,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,0,1,1
110,110,9385516191,10899,4.691256135,355,biotech,Series B55,India,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0
111,111,012801847X,17280,5.152134856,372,tech,Series A,United Kingdom,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,1,1
112,112,1107139686,11200,4.718498871,360,biotech,Series C,United Kingdom,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1
113,113,128053852,25200,5.529429088,476,tech,Series A,United Kingdom,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
114,114,3319317865,15900,5.068904202,386,biotech,Series C,Switzerland,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1
115,115,3319317881,29002,5.669949886,386,tech,Series C,Switzerland,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
116,116,1771882913,20394,5.317825833,400,tech,Series C,Canada,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1
117,117,1634853644,14173,4.953923839,188,biotech,Series A,United States,1,0,0,1,1,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1
118,118,8132227689,24900,5.517452896,519,biotech,Series C,India,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
119,119,8132227700,45418,6.118493595,519,tech,Series C,India,0,0,1,0,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,1
120,120,9402409246,32650,5.788429949,312,tech,Series A,Netherlands,0,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,1,0,0,1
121,121,1486303978,5394,3.987872318,201,tech,Series A,Australia,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1
122,122,1785481037,16500,5.105945474,496,biotech,Series A,United Kingdom,0,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0
123,123,9811018480,32650,5.788429949,435,tech,Series A,Singapore,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
124,124,1498742882,15594,5.049471318,302,tech,Series B55,United States,1,0,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1
125,125,177188391X,19194,5.257182823,437,tech,Series C,Canada,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
126,126,1493939548,7995,4.381401439,262,environmental,Series A,United States,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,0,1,0,1,0,1,1
127,127,8132226445,36298,5.894347736,343,tech,Series A,India,0,0,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,1
128,128,8132226453,17900,5.187385806,343,biotech,Series A,India,0,0,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1
129,129,8132226429,19900,5.293304825,343,biotech,Series A,India,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,1,1
130,130,1780408137,4500,3.80666249,71,environmental,Series B55,United Kingdom,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
131,131,1780408145,4559,3.819688394,76,tech,Series B55,United Kingdom,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,1,1
132,132,128096896,17280,5.152134856,268,tech,Series C,United Kingdom,0,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1
133,133,128037148,18000,5.192956851,484,tech,Series A,United Kingdom,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1
134,134,128043830,18720,5.232177564,526,tech,Series A,Netherlands,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
135,135,3319393057,17900,5.187385806,388,biotech,Series C,Switzerland,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0
136,136,3319393065,32650,5.788429949,388,tech,Series C,Switzerland,0,0,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1
137,137,3319440152,45418,6.118493595,847,tech,Series A,Switzerland,0,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1
138,138,3319380591,16900,5.129898715,389,environmental,Series A,Switzerland,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0
139,139,1138034169,8000,4.382026635,436,environmental,Series B55,United Kingdom,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,1,0,1
140,140,1498746675,11995,4.787074989,275,biotech,Series C,United States,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,0,1
141,141,1498746683,14394,4.969396546,275,tech,Series C,United States,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1
142,142,128033622,25920,5.557599964,288,tech,Series A,United States,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,1
143,143,1118953312,29700,5.693732139,692,tech,Series A,United Kingdom,0,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1
144,144,3319488872,29002,5.669949886,193,tech,Series A,Switzerland,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1
145,145,3319268031,32650,5.788429949,353,tech,Series A,Switzerland,0,0,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0
146,146,3319268015,17900,5.187385806,353,biotech,Series A,Switzerland,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1,1
147,147,1498751067,21594,5.375000591,244,tech,Series C,United States,1,0,0,1,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,1
148,148,1118824245,14999,5.010568625,371,biotech,Series A,United States,1,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1
149,149,3319445294,19900,5.293304825,313,biotech,Series A,Switzerland,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1
150,150,3319445308,36298,5.894347736,313,tech,Series A,Switzerland,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,0
151,151,1771883219,19194,5.257182823,378,tech,Series B55,Canada,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1
152,152,1612124275,1695,2.830267834,176,environmental,Series A,United States,1,0,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,0,1,0
153,153,1612124283,2034,3.012589391,176,tech,Series A,United States,1,0,0,1,0,1,1,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1
154,154,9401777527,35880,5.88276513,531,tech,Series C,Netherlands,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1
155,155,1315422689,15600,5.049856007,148,tech,Series B55,United States,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0
156,156,128041102,18000,5.192956851,196,tech,Series A,United States,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
157,157,9401776113,19900,5.293304825,355,biotech,Series A,Netherlands,0,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1
158,158,9401776121,36298,5.894347736,355,tech,Series A,Netherlands,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1
159,159,1498768512,17994,5.192623462,148,tech,Series C,United States,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0
160,160,149870381X,29994,5.703582455,664,tech,Series C,United States,1,0,0,0,0,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,0
161,161,8132227743,17900,5.187385806,338,biotech,Series C,India,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,0,0
162,162,813222776X,32650,5.788429949,338,tech,Series C,India,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0
163,163,9811006628,5499,4.007151351,77,environmental,Series A,Singapore,0,0,1,1,1,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,1
164,164,9811006636,10030,4.608165695,77,tech,Series A,Singapore,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
165,165,9811019657,36298,5.894347736,442,tech,Series C,Singapore,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1
166,166,3319320599,32650,5.788429949,440,tech,Series A,Switzerland,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
167,167,1119042097,5999,4.094177882,106,tech,Series A,United States,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1,1
168,168,520284615,7000,4.248495242,408,biotech,Series C,United States,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1
169,169,1498700721,26394,5.575721805,384,tech,Series A,United States,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1
170,170,1498700713,21995,5.393400248,366,biotech,Series A,United States,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1
171,171,8132228596,23900,5.476463552,432,environmental,Series A,India,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
172,172,3319287060,10030,4.608165695,85,tech,Series A,Switzerland,0,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
173,173,9251085196,4500,3.80666249,109,environmental,Series A,Italy,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
174,174,162317029X,2195,3.08876714,234,tech,Series C,United States,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
175,175,1623170281,2195,3.08876714,234,environmental,Series C,United States,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,0,1,1
176,176,3319473220,32650,5.788429949,326,tech,Series A,Switzerland,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
177,177,128096063,21600,5.375278408,528,tech,Series A,United Kingdom,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1
178,178,1498718027,21594,5.375000591,283,tech,Series B55,United States,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
179,179,1498739504,21594,5.375000591,378,tech,Series B55,United States,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0
180,180,9811005680,15900,5.068904202,341,biotech,Series A,Singapore,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1
181,181,9811005699,29002,5.669949886,341,tech,Series A,Singapore,0,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
182,182,3319241079,19900,5.293304825,270,biotech,Series C,Switzerland,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,1
